index,name,num_incoming,num_outgoing,sum_incoming,sum_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,timestamp,url
0,Ivan Korčok,3771,518,523609.22,-487838.47,35770.75,138.85155661628215,-941.7731081081081,3312,158.09457125603865,1713437901.557656,https://www.transparentneucty.sk/#/ucet/SK3509000000005206616575
1,Štefan Harabin,1100,87,54960.0,-54824.05,135.9499999999971,49.96363636363636,-630.1614942528736,1003,54.79561316051844,1713437901.6574578,https://www.transparentneucty.sk/#/ucet/SK4409000000005203410854
2,Ján Kubiš,54,90,140248.3,-139959.72,288.5799999999872,2597.1907407407407,-1555.108,45,3116.6288888888885,1713437901.6731021,https://www.transparentneucty.sk/#/ucet/SK5609000000005206988483
3,Krisztián Forró,14,151,105620.0,-100624.06000000001,4995.939999999988,7544.285714285715,-666.3845033112584,11,9601.818181818182,1713437901.691056,https://moja.csob.sk/transparent-accounts/2db66361484f2e843177eced9788bd3681a7e4d5666ee2eba140d18db6a6bd6f
4,Peter Pellegrini,2,179,500000.0,-397286.52,102713.47999999998,250000.0,-2219.4777653631286,1,500000.0,1713437901.699548,https://www.transparentneucty.sk/#/ucet/SK1209000000005212516917
5,Andrej Danko,467,478,31122.5,-27981.350000000002,3141.149999999998,66.64346895074947,-58.538389121338916,453,68.70309050772627,1713437904.4949389,https://www.transparentneucty.sk/#/ucet/SK6809000000005212540159
6,Róbert Švec,57,33,4498.04,-4496.07,1.9700000000002547,78.91298245614036,-136.24454545454546,37,121.56864864864865,1713437904.498645,https://ib.fio.sk/ib/transparent?a=2202752146
7,Marian Kotleba,3,15,7518.469999999999,-6935.550000000001,582.9199999999983,2506.1566666666663,-462.37000000000006,2,3759.2349999999997,1713437904.550171,https://www.transparentneucty.sk/#/ucet/SK0509000000005212935695
8,Patrik Dubovský,8,15,583.0,-590.1999999999999,-7.199999999999932,72.875,-39.346666666666664,7,83.28571428571429,1713437904.553239,https://moja.csob.sk/transparent-accounts/ee2943dd2f0ea26ad583f5ed506d8126f7c44d6b88c4880430d0b5294f7ec0b0
9,Milan Náhlik,1,4,70.0,-16.62,53.379999999999995,70.0,-4.155,1,70.0,1713437904.555593,https://www.transparentneucty.sk/#/ucet/SK8609000000005213851469
